work_item_id,ea_id,symbol,phase,data_window_start,data_window_end,comparable_pass_sibling_count,estimated_tester_minutes,priority_policy,ram_class_policy,append_only_command
55e05a5f-0e06-41d0-8037-f3cd1d3b135d,QM5_10099,EURUSD.DWX,Q03,2024.01.01,2024.12.31,0,3.0,LOW_DEFAULT_NO_QUEUE_JUMP,AUTOMATIC_AT_CLAIM,"python C:/QM/repo/tools/strategy_farm/farmctl.py enqueue-backtest --append-only-rerun-of 55e05a5f-0e06-41d0-8037-f3cd1d3b135d --phase Q03 --rerun-reason ""P0 evidence regeneration, router task f8432ebf-7f91-422f-8fd6-628c2f86e46c, 2026-08-31 retention loss"""
7b538677-f387-46bb-b8c9-b1ceb0a28717,QM5_10185,EURJPY.DWX,Q03,2024.01.01,2024.12.31,0,3.0,LOW_DEFAULT_NO_QUEUE_JUMP,AUTOMATIC_AT_CLAIM,"python C:/QM/repo/tools/strategy_farm/farmctl.py enqueue-backtest --append-only-rerun-of 7b538677-f387-46bb-b8c9-b1ceb0a28717 --phase Q03 --rerun-reason ""P0 evidence regeneration, router task f8432ebf-7f91-422f-8fd6-628c2f86e46c, 2026-08-31 retention loss"""
2ead7b60-2f3e-480c-ab0f-5d101bf81464,QM5_10201,NDX.DWX,Q03,2024.01.01,2024.12.31,0,3.0,LOW_DEFAULT_NO_QUEUE_JUMP,AUTOMATIC_AT_CLAIM,"python C:/QM/repo/tools/strategy_farm/farmctl.py enqueue-backtest --append-only-rerun-of 2ead7b60-2f3e-480c-ab0f-5d101bf81464 --phase Q03 --rerun-reason ""P0 evidence regeneration, router task f8432ebf-7f91-422f-8fd6-628c2f86e46c, 2026-08-31 retention loss"""
40ae2243-b38c-4832-9ae7-05267f070086,QM5_10203,EURUSD.DWX,Q03,2024.01.01,2024.12.31,0,3.0,LOW_DEFAULT_NO_QUEUE_JUMP,AUTOMATIC_AT_CLAIM,"python C:/QM/repo/tools/strategy_farm/farmctl.py enqueue-backtest --append-only-rerun-of 40ae2243-b38c-4832-9ae7-05267f070086 --phase Q03 --rerun-reason ""P0 evidence regeneration, router task f8432ebf-7f91-422f-8fd6-628c2f86e46c, 2026-08-31 retention loss"""
cfc0c5dd-105f-4009-9227-c1fba6e7bdac,QM5_10217,NDX.DWX,Q03,2024.01.01,2024.12.31,0,3.0,LOW_DEFAULT_NO_QUEUE_JUMP,AUTOMATIC_AT_CLAIM,"python C:/QM/repo/tools/strategy_farm/farmctl.py enqueue-backtest --append-only-rerun-of cfc0c5dd-105f-4009-9227-c1fba6e7bdac --phase Q03 --rerun-reason ""P0 evidence regeneration, router task f8432ebf-7f91-422f-8fd6-628c2f86e46c, 2026-08-31 retention loss"""
d31f4935-d8e4-40d9-a295-cdafbcbc406c,QM5_10260,NDX.DWX,Q03,2024.01.01,2024.12.31,0,3.0,LOW_DEFAULT_NO_QUEUE_JUMP,AUTOMATIC_AT_CLAIM,"python C:/QM/repo/tools/strategy_farm/farmctl.py enqueue-backtest --append-only-rerun-of d31f4935-d8e4-40d9-a295-cdafbcbc406c --phase Q03 --rerun-reason ""P0 evidence regeneration, router task f8432ebf-7f91-422f-8fd6-628c2f86e46c, 2026-08-31 retention loss"""
48818ee3-44ed-4607-9e9c-518554d4bcff,QM5_10584,GBPJPY.DWX,Q03,2024.01.01,2024.12.31,0,3.0,LOW_DEFAULT_NO_QUEUE_JUMP,AUTOMATIC_AT_CLAIM,"python C:/QM/repo/tools/strategy_farm/farmctl.py enqueue-backtest --append-only-rerun-of 48818ee3-44ed-4607-9e9c-518554d4bcff --phase Q03 --rerun-reason ""P0 evidence regeneration, router task f8432ebf-7f91-422f-8fd6-628c2f86e46c, 2026-08-31 retention loss"""
1c529230-6c0b-4bb0-9976-27f236bf3a2d,QM5_10946,USDJPY.DWX,Q03,2024.01.01,2024.12.31,0,3.0,LOW_DEFAULT_NO_QUEUE_JUMP,AUTOMATIC_AT_CLAIM,"python C:/QM/repo/tools/strategy_farm/farmctl.py enqueue-backtest --append-only-rerun-of 1c529230-6c0b-4bb0-9976-27f236bf3a2d --phase Q03 --rerun-reason ""P0 evidence regeneration, router task f8432ebf-7f91-422f-8fd6-628c2f86e46c, 2026-08-31 retention loss"""
dff4fc81-7b2b-42de-8d0c-9ed191552bf2,QM5_11129,GDAXI.DWX,Q03,UNKNOWN_FAIL_CLOSED,UNKNOWN_FAIL_CLOSED,0,3.0,LOW_DEFAULT_NO_QUEUE_JUMP,AUTOMATIC_AT_CLAIM,"python C:/QM/repo/tools/strategy_farm/farmctl.py enqueue-backtest --append-only-rerun-of dff4fc81-7b2b-42de-8d0c-9ed191552bf2 --phase Q03 --rerun-reason ""P0 evidence regeneration, router task f8432ebf-7f91-422f-8fd6-628c2f86e46c, 2026-08-31 retention loss"""
df2221ea-b67f-439f-9de6-8b0b1018d6d9,QM5_11298,GBPUSD.DWX,Q03,2024.01.01,2024.12.31,0,3.0,LOW_DEFAULT_NO_QUEUE_JUMP,AUTOMATIC_AT_CLAIM,"python C:/QM/repo/tools/strategy_farm/farmctl.py enqueue-backtest --append-only-rerun-of df2221ea-b67f-439f-9de6-8b0b1018d6d9 --phase Q03 --rerun-reason ""P0 evidence regeneration, router task f8432ebf-7f91-422f-8fd6-628c2f86e46c, 2026-08-31 retention loss"""
